j1,j2,j3,j4,j5,j6,x,y,z,ox,oy,oz,ow,manip
2.204353635735131434e+00,-3.562361911894267319e-01,2.244058727345508708e-01,5.893097874517700951e+00,-3.524247028150027994e+00,-5.210783861601875344e-01,-1.049322482084291241e+00,6.700384224017614798e-01,1.406587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.158297052540393189e-02
2.204138801298418660e+00,-3.735176847884082996e-01,2.034854421778435896e-01,5.928149056172722808e+00,-3.526141601329259689e+00,-5.239628149678077218e-01,-1.049322482084291241e+00,6.700384224017614798e-01,1.431587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.051027204236434746e-02
2.233660269691514877e+00,-3.061743679099642734e-01,2.996148992702061808e-01,5.736788347608976935e+00,-3.494264282374180297e+00,-5.554142962952730578e-01,-1.049322482084291241e+00,6.450384224017614576e-01,1.331587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.443247814817859125e-02
2.233644309149954932e+00,-3.250630397026869622e-01,2.792217696621666079e-01,5.773746292952558257e+00,-3.495288502467388980e+00,-5.575941449539062456e-01,-1.049322482084291241e+00,6.450384224017614576e-01,1.356587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.347137017570872695e-02
2.233616112401755949e+00,-3.431219935570828383e-01,2.579323728329596666e-01,5.810386101864408737e+00,-3.496537496974970516e+00,-5.601320141342628345e-01,-1.049322482084291241e+00,6.450384224017614576e-01,1.381587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.246157526034585850e-02
2.233572169975485799e+00,-3.603523450994675636e-01,2.358112642666839176e-01,5.846647853655019489e+00,-3.498014888611645556e+00,-5.630230070969940437e-01,-1.049322482084291241e+00,6.450384224017614576e-01,1.406587955583267657e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.140652073270420445e-02
2.233514045523095959e+00,-3.770795809773899721e-01,2.136084036163619082e-01,5.882074544848273412e+00,-3.499726258713065974e+00,-5.662971583415689070e-01,-1.049322482084291241e+00,6.450384224017614576e-01,1.431587955583267568e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.034218979029067828e-02
2.262532682864645928e+00,-3.103695724978324799e-01,3.128581271548624976e-01,5.683472695743980729e+00,-3.469126443027071627e+00,-6.023661643678092092e-01,-1.049322482084291241e+00,6.200384224017614354e-01,1.331587955583267480e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.406985395282426068e-02
2.262623475923584149e+00,-3.290498238567813871e-01,2.918717847500568729e-01,5.720532802806885364e+00,-3.470011329220520135e+00,-6.048527473749115702e-01,-1.049322482084291241e+00,6.200384224017614354e-01,1.356587955583267391e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.314885247724350247e-02
2.262723679505950880e+00,-3.467517827703164857e-01,2.696925833582076715e-01,5.757369523752561058e+00,-3.471097737525021376e+00,-6.077552150339471382e-01,-1.049322482084291241e+00,6.200384224017614354e-01,1.381587955583267524e+00,-6.581589077245973696e-02,6.394092427298517789e-01,7.640618172870262681e-01,-5.507838230659833217e-02,1.216883454498108620e-02
